ClientID,Industry,ClientType,ImplementationOwner,OnboardingSLA,DocumentsPending,OnboardingStartDate,TargetGoLiveDate,OnboardingStage,PercentComplete,Actual Duration (Days),Email (XLOOKUP from sales_leads),RFP Status (XLOOKUP from Pipeline),Employee Position (XLOOKUP from employees),SLA Status (IF Statement),Bottleneck Flag (IF + AND)
C001,Healthcare,Small Biz,Jane Smith,45,4,3/7/2025,5/29/2025,First Payroll Complete,33,69,jonesjennifer@example.com,Not Found,Manager,Late,Bottleneck
C002,Retail,Small Biz,Tanya Wells,30,2,2/16/2025,3/31/2025,System Setup,33,76,bakerlisa@example.org,Lost,HR Assistant,Late,
C003,Manufacturing,Startup,Tanya Wells,60,1,3/11/2025,3/26/2025,Parallel Payroll Test,33,60,chris61@example.com,Won,Technician,On Time,
C004,Retail,Startup,Tanya Wells,30,3,2/12/2025,3/11/2025,Parallel Payroll Test,66,28,jessica02@example.net,Submitted,HR Assistant,On Time,
C005,Healthcare,Enterprise,Marcus Lee,45,2,1/23/2025,1/26/2025,Data Collection,33,60,gloriajones@example.net,Lost,Technician,Late,
C006,Manufacturing,Enterprise,Jane Smith,30,2,3/21/2025,3/27/2025,Parallel Payroll Test,66,58,olee@example.org,Won,HR Assistant,Late,
C007,Healthcare,Small Biz,Alex Kim,45,5,1/20/2025,3/7/2025,Parallel Payroll Test,33,96,dblackwell@example.org,Pending,Technician,Late,Bottleneck
C008,Retail,Enterprise,Marcus Lee,60,4,4/13/2025,6/3/2025,System Setup,66,117,jordanharper@example.org,Won,Clerk,Late,
C009,Retail,Small Biz,Jane Smith,60,5,3/19/2025,4/15/2025,Parallel Payroll Test,33,70,vazquezkelly@example.org,Not Found,Technician,Late,Bottleneck
C010,Retail,Enterprise,Marcus Lee,30,2,1/31/2025,2/27/2025,Parallel Payroll Test,66,57,phillip73@example.net,Pending,HR Assistant,Late,
C011,Healthcare,Franchise,Alex Kim,45,4,4/11/2025,6/14/2025,First Payroll Complete,0,79,ssantiago@example.net,Submitted,Manager,Late,Bottleneck
C012,Manufacturing,Enterprise,Jane Smith,30,4,3/28/2025,5/19/2025,Parallel Payroll Test,100,76,jmckee@example.org,Pending,Clerk,Late,
